week,film,novel,Book 1: film,Book 1: novel,Book 2: film,Book 2: novel,Book 3: film,Book 3: novel,Book 4: film,Book 4: novel,Book 5: film,Book 5: novel,Book 6: film,Book 6: novel,Book 7: film pt1,Book 7:film pt2,Book 7: novel
2013-05-12,25,1280,20.25,34.4827586207,26.4827586207,44.6551724138,25.0344827586,13.3333333333,40.2962962963,17.7741935484,30.4827586207,16.935483871,46.2903225806,18,128.4166666667,128,92.1739130435
2013-05-19,25,1320,22.5,34.4827586207,38.0689655172,49.7586206897,25.0344827586,15.1515151515,40.2962962963,19,29.5862068966,18.8709677419,42.3225806452,19.1612903226,142.375,162.6666666667,108.3043478261
2013-05-26,24,1280,20.25,33.6206896552,33.1034482759,44.6551724138,29.5862068966,15.1515151515,40.2962962963,18.3870967742,34.0689655172,21.7741935484,44.9677419355,19.1612903226,120.0416666667,122.6666666667,89.8695652174
2013-06-02,27,1280,20.25,39.6551724138,31.4482758621,51.0344827586,26.5517241379,15.7575757576,41.4814814815,17.1612903226,32.275862069,17.9032258065,54.2258064516,20.9032258065,134,122.6666666667,87.5652173913
2013-06-09,26,1320,21.375,38.7931034483,34.7586206897,54.8620689655,27.3103448276,17.5757575758,43.8518518519,19.6129032258,34.9655172414,20.3225806452,48.935483871,20.9032258065,150.75,136,89.8695652174
2013-06-16,27,1280,22.5,41.3793103448,33.1034482759,61.2413793103,29.5862068966,16.9696969697,47.4074074074,19.6129032258,36.7586206897,19.3548387097,50.2580645161,21.4838709677,150.75,125.3333333333,89.8695652174
2013-06-23,24,1320,22.5,37.9310344828,33.1034482759,57.4137931034,30.3448275862,18.1818181818,47.4074074074,19.6129032258,36.7586206897,23.2258064516,51.5806451613,23.2258064516,159.125,133.3333333333,89.8695652174
2013-06-30,28,1360,23.625,38.7931034483,35.5862068966,54.8620689655,34.1379310345,20,49.7777777778,19.6129032258,38.5517241379,21.2903225806,50.2580645161,23.2258064516,145.1666666667,130.6666666667,92.1739130435
2013-07-07,29,1400,24.75,43.1034482759,38.0689655172,61.2413793103,37.1724137931,23.0303030303,54.5185185185,22.064516129,43.9310344828,25.1612903226,52.9032258065,25.5483870968,159.125,130.6666666667,92.1739130435
2013-07-14,29,1520,25.875,41.3793103448,41.3793103448,63.7931034483,39.4482758621,22.4242424242,61.6296296296,25.7419354839,42.1379310345,23.2258064516,62.1612903226,25.5483870968,156.3333333333,138.6666666667,94.4782608696
2013-07-21,31,1560,27,38.7931034483,43.0344827586,62.5172413793,46.275862069,23.0303030303,65.1851851852,24.5161290323,45.724137931,26.6129032258,67.4516129032,29.0322580645,159.125,149.3333333333,103.6956521739
2013-07-28,39,1800,29.25,41.3793103448,41.3793103448,72.724137931,46.275862069,24.8484848485,67.5555555556,25.7419354839,55.5862068966,32.4193548387,87.2903225806,31.3548387097,203.7916666667,197.3333333333,129.0434782609
2013-08-04,32,1600,25.875,37.0689655172,35.5862068966,56.1379310345,37.9310344828,26.6666666667,78.2222222222,31.8709677419,47.5172413793,23.7096774194,66.1290322581,30.1935483871,167.5,149.3333333333,108.3043478261
2013-08-11,31,1640,27,49.1379310345,38.0689655172,71.4482758621,36.4137931034,26.6666666667,61.6296296296,53.3225806452,62.7586206897,41.1290322581,79.3548387097,41.8064516129,195.4166666667,149.3333333333,108.3043478261
2013-08-18,30,1560,25.875,43.1034482759,38.0689655172,70.1724137931,35.6551724138,22.4242424242,53.3333333333,30.6451612903,46.6206896552,48.3870967742,84.6451612903,51.0967741935,201,152,115.2173913043
2013-08-25,28,1480,24.75,39.6551724138,37.2413793103,58.6896551724,33.3793103448,20,58.0740740741,22.064516129,42.1379310345,28.064516129,63.4838709677,33.6774193548,178.6666666667,149.3333333333,106
2013-09-01,30,1520,23.625,33.6206896552,32.275862069,45.9310344828,30.3448275862,17.5757575758,50.962962963,22.064516129,39.4482758621,22.7419354839,54.2258064516,25.5483870968,147.9583333333,125.3333333333,92.1739130435
2013-09-08,43,1960,22.5,32.7586206897,31.4482758621,45.9310344828,27.3103448276,15.7575757576,41.4814814815,20.8387096774,34.0689655172,22.2580645161,58.1935483871,21.4838709677,153.5416666667,138.6666666667,99.0869565217
2013-09-15,31,1400,22.5,36.2068965517,30.6206896552,42.1034482759,29.5862068966,15.1515151515,40.2962962963,16.5483870968,34.0689655172,19.8387096774,41,18.5806451613,128.4166666667,106.6666666667,85.2608695652
2013-09-22,24,1240,21.375,31.0344827586,28.9655172414,40.8275862069,26.5517241379,13.9393939394,36.7407407407,15.935483871,29.5862068966,16.935483871,39.6774193548,15.6774193548,128.4166666667,101.3333333333,80.652173913
2013-09-29,26,1320,22.5,31.0344827586,30.6206896552,42.1034482759,28.0689655172,14.5454545455,37.9259259259,17.7741935484,30.4827586207,18.3870967742,44.9677419355,17.4193548387,125.625,133.3333333333,92.1739130435
2013-10-06,23,1280,22.5,31.8965517241,43.0344827586,45.9310344828,34.8965517241,15.1515151515,41.4814814815,19,37.6551724138,16.935483871,44.9677419355,17.4193548387,111.6666666667,109.3333333333,80.652173913
2013-10-13,23,1360,23.625,34.4827586207,36.4137931034,47.2068965517,40.2068965517,15.7575757576,41.4814814815,19,41.2413793103,21.7741935484,51.5806451613,19.7419354839,111.6666666667,112,78.347826087
2013-10-20,25,1360,23.625,32.7586206897,33.9310344828,45.9310344828,32.6206896552,15.1515151515,52.1481481481,20.8387096774,39.4482758621,19.3548387097,58.1935483871,41.2258064516,117.25,122.6666666667,89.8695652174
2013-10-27,28,1640,29.25,36.2068965517,38.0689655172,48.4827586207,31.8620689655,17.5757575758,54.5185185185,21.4516129032,48.4137931034,23.7096774194,68.7741935484,29.6129032258,167.5,168,131.347826087
2013-11-03,23,1400,28.125,38.7931034483,37.2413793103,52.3103448276,33.3793103448,16.9696969697,47.4074074074,19.6129032258,46.6206896552,22.2580645161,67.4516129032,26.1290322581,139.5833333333,160,119.8260869565
2013-11-10,22,1320,24.75,37.9310344828,37.2413793103,47.2068965517,34.1379310345,16.9696969697,49.7777777778,25.7419354839,36.7586206897,23.2258064516,58.1935483871,23.8064516129,128.4166666667,146.6666666667,99.0869565217
2013-11-17,24,1480,27,35.3448275862,36.4137931034,48.4827586207,34.1379310345,17.5757575758,54.5185185185,21.4516129032,42.1379310345,20.8064516129,54.2258064516,18.5806451613,125.625,152,110.6086956522
2013-11-24,35,1600,28.125,46.5517241379,38.0689655172,58.6896551724,35.6551724138,17.5757575758,56.8888888889,22.064516129,55.5862068966,26.1290322581,68.7741935484,21.4838709677,161.9166666667,157.3333333333,110.6086956522
2013-12-01,29,1520,25.875,38.7931034483,41.3793103448,57.4137931034,33.3793103448,16.9696969697,50.962962963,20.8387096774,45.724137931,23.2258064516,54.2258064516,23.2258064516,139.5833333333,144,103.6956521739
2013-12-08,29,1480,25.875,40.5172413793,38.8965517241,56.1379310345,38.6896551724,18.1818181818,49.7777777778,20.8387096774,39.4482758621,25.1612903226,52.9032258065,22.6451612903,150.75,141.3333333333,106
2013-12-15,31,1520,25.875,37.9310344828,37.2413793103,49.7586206897,37.9310344828,19.3939393939,71.1111111111,25.1290322581,54.6896551724,28.064516129,51.5806451613,20.9032258065,139.5833333333,144,99.0869565217
2013-12-22,48,1880,37.125,48.275862069,52.1379310345,68.8965517241,50.0689655172,24.8484848485,73.4814814815,26.3548387097,62.7586206897,32.4193548387,108.4516129032,36,237.2916666667,205.3333333333,135.9565217391
2013-12-29,59,2040,40.5,60.3448275862,57.1034482759,82.9310344828,56.1379310345,26.6666666667,82.962962963,28.1935483871,66.3448275862,34.8387096774,95.2258064516,34.2580645161,245.6666666667,250.6666666667,161.3043478261
2014-01-05,32,1480,28.125,51.724137931,38.8965517241,61.2413793103,41.724137931,20.6060606061,56.8888888889,23.9032258065,46.6206896552,25.6451612903,60.8387096774,24.9677419355,153.5416666667,136,99.0869565217
2014-01-12,28,1360,24.75,50,30.6206896552,66.3448275862,31.1034482759,18.1818181818,56.8888888889,20.8387096774,36.7586206897,23.7096774194,48.935483871,23.2258064516,136.7916666667,106.6666666667,87.5652173913
2014-01-19,29,1480,24.75,44.8275862069,33.1034482759,70.1724137931,31.1034482759,20,56.8888888889,22.6774193548,40.3448275862,24.1935483871,47.6129032258,23.8064516129,136.7916666667,114.6666666667,92.1739130435
2014-01-26,32,1480,28.125,47.4137931034,40.5517241379,75.275862069,36.4137931034,26.6666666667,55.7037037037,21.4516129032,43.0344827586,24.6774193548,51.5806451613,24.3870967742,153.5416666667,122.6666666667,96.7826086957
2014-02-02,28,1480,24.75,43.9655172414,33.9310344828,63.7931034483,37.1724137931,24.8484848485,59.2592592593,21.4516129032,37.6551724138,21.7741935484,46.2903225806,22.6451612903,142.375,104,85.2608695652
2014-02-09,25,1320,23.625,41.3793103448,31.4482758621,56.1379310345,31.8620689655,16.9696969697,69.9259259259,21.4516129032,43.0344827586,19.8387096774,46.2903225806,22.064516129,131.2083333333,90.6666666667,76.0434782609
2014-02-16,25,1320,22.5,35.3448275862,32.275862069,49.7586206897,28.0689655172,16.9696969697,58.0740740741,18.3870967742,39.4482758621,18.3870967742,47.6129032258,23.2258064516,111.6666666667,93.3333333333,76.0434782609
2014-02-23,24,1320,22.5,35.3448275862,29.7931034483,48.4827586207,26.5517241379,16.9696969697,48.5925925926,18.3870967742,38.5517241379,17.9032258065,55.5483870968,20.3225806452,114.4583333333,96,76.0434782609
2014-03-02,35,1520,27,37.9310344828,30.6206896552,54.8620689655,35.6551724138,17.5757575758,53.3333333333,18.3870967742,43.0344827586,20.3225806452,60.8387096774,23.2258064516,145.1666666667,117.3333333333,92.1739130435
2014-03-09,24,1360,22.5,36.2068965517,29.7931034483,47.2068965517,30.3448275862,16.3636363636,52.1481481481,19.6129032258,34.9655172414,20.8064516129,43.6451612903,26.7096774194,134,120,85.2608695652
2014-03-16,23,1280,22.5,33.6206896552,28.1379310345,47.2068965517,28.0689655172,17.5757575758,49.7777777778,18.3870967742,35.8620689655,17.4193548387,42.3225806452,22.6451612903,111.6666666667,98.6666666667,73.7391304348
2014-03-23,27,1320,22.5,34.4827586207,32.275862069,44.6551724138,29.5862068966,15.7575757576,47.4074074074,19.6129032258,37.6551724138,20.3225806452,44.9677419355,20.3225806452,106.0833333333,96,73.7391304348
2014-03-30,31,1400,24.75,33.6206896552,34.7586206897,47.2068965517,32.6206896552,16.9696969697,50.962962963,20.2258064516,43.9310344828,22.2580645161,54.2258064516,21.4838709677,120.0416666667,117.3333333333,89.8695652174
2014-04-06,24,1280,22.5,32.7586206897,33.9310344828,48.4827586207,28.8275862069,16.3636363636,43.8518518519,17.7741935484,36.7586206897,20.3225806452,48.935483871,21.4838709677,111.6666666667,114.6666666667,82.9565217391
2014-04-13,29,1440,25.875,37.9310344828,35.5862068966,54.8620689655,34.8965517241,19.3939393939,53.3333333333,22.6774193548,40.3448275862,21.2903225806,46.2903225806,19.1612903226,134,117.3333333333,89.8695652174
2014-04-20,33,1560,28.125,41.3793103448,37.2413793103,61.2413793103,42.4827586207,22.4242424242,58.0740740741,23.2903225806,47.5172413793,25.1612903226,55.5483870968,23.2258064516,142.375,117.3333333333,87.5652173913
2014-04-27,50,1800,33.75,46.5517241379,36.4137931034,66.3448275862,39.4482758621,21.8181818182,71.1111111111,24.5161290323,50.2068965517,27.0967741935,75.3870967742,28.4516129032,178.6666666667,258.6666666667,152.0869565217
2014-05-04,34,1520,27,43.1034482759,32.275862069,57.4137931034,31.8620689655,18.1818181818,65.1851851852,25.1290322581,39.4482758621,23.7096774194,55.5483870968,24.3870967742,139.5833333333,186.6666666667,115.2173913043
2014-05-11,32,1520,25.875,39.6551724138,30.6206896552,51.0344827586,31.8620689655,18.7878787879,50.962962963,20.8387096774,45.724137931,26.1290322581,51.5806451613,23.8064516129,128.4166666667,144,96.7826086957
2014-05-18,30,1440,25.875,39.6551724138,32.275862069,56.1379310345,33.3793103448,19.3939393939,47.4074074074,19,37.6551724138,21.7741935484,46.2903225806,21.4838709677,136.7916666667,149.3333333333,103.6956521739
2014-05-25,28,1480,25.875,45.6896551724,33.1034482759,52.3103448276,34.8965517241,20.6060606061,50.962962963,20.8387096774,46.6206896552,23.7096774194,50.2580645161,20.3225806452,120.0416666667,128,92.1739130435
2014-06-01,25,1400,27,43.9655172414,33.1034482759,61.2413793103,30.3448275862,20.6060606061,48.5925925926,22.064516129,41.2413793103,23.7096774194,47.6129032258,23.8064516129,111.6666666667,109.3333333333,80.652173913
2014-06-08,24,1360,25.875,43.9655172414,28.9655172414,68.8965517241,29.5862068966,21.2121212121,47.4074074074,20.2258064516,43.0344827586,22.7419354839,50.2580645161,20.3225806452,114.4583333333,104,89.8695652174
2014-06-15,25,1360,24.75,38.7931034483,32.275862069,61.2413793103,30.3448275862,20.6060606061,49.7777777778,22.064516129,41.2413793103,21.7741935484,50.2580645161,24.3870967742,114.4583333333,109.3333333333,82.9565217391
2014-06-22,27,1400,28.125,41.3793103448,32.275862069,58.6896551724,31.8620689655,23.6363636364,48.5925925926,22.6774193548,41.2413793103,23.2258064516,55.5483870968,24.3870967742,122.8333333333,117.3333333333,94.4782608696
2014-06-29,29,1440,29.25,41.3793103448,35.5862068966,58.6896551724,31.8620689655,23.0303030303,53.3333333333,23.9032258065,43.0344827586,26.1290322581,48.935483871,24.9677419355,131.2083333333,114.6666666667,92.1739130435
2014-07-06,41,2480,32.625,49.1379310345,40.5517241379,70.1724137931,41.724137931,23.6363636364,66.3703703704,29.4193548387,53.7931034483,27.5806451613,63.4838709677,29.0322580645,156.3333333333,144,117.5217391304
2014-07-13,42,2040,30.375,43.9655172414,43.0344827586,71.4482758621,38.6896551724,24.8484848485,66.3703703704,27.5806451613,60.9655172414,28.5483870968,74.064516129,29.6129032258,159.125,149.3333333333,124.4347826087
2014-07-20,35,1640,29.25,51.724137931,40.5517241379,62.5172413793,35.6551724138,23.0303030303,60.4444444444,25.1290322581,53.7931034483,28.064516129,62.1612903226,27.8709677419,139.5833333333,138.6666666667,112.9130434783
2014-07-27,33,1680,29.25,43.9655172414,38.8965517241,63.7931034483,37.9310344828,23.0303030303,58.0740740741,24.5161290323,50.2068965517,26.1290322581,60.8387096774,29.0322580645,125.625,125.3333333333,99.0869565217
2014-08-03,32,1600,31.5,41.3793103448,35.5862068966,63.7931034483,35.6551724138,23.0303030303,60.4444444444,24.5161290323,47.5172413793,24.1935483871,64.8064516129,32.5161290323,125.625,120,101.3913043478
2014-08-10,33,1560,29.25,42.2413793103,34.7586206897,63.7931034483,33.3793103448,21.2121212121,59.2592592593,24.5161290323,46.6206896552,25.1612903226,66.1290322581,28.4516129032,125.625,117.3333333333,96.7826086957
2014-08-17,28,1520,28.125,39.6551724138,37.2413793103,62.5172413793,33.3793103448,20,53.3333333333,21.4516129032,40.3448275862,21.7741935484,59.5161290323,24.3870967742,131.2083333333,109.3333333333,96.7826086957
2014-08-24,27,1520,30.375,42.2413793103,33.9310344828,53.5862068966,31.1034482759,21.8181818182,71.1111111111,22.6774193548,43.9310344828,23.2258064516,55.5483870968,24.9677419355,125.625,106.6666666667,103.6956521739
2014-08-31,35,1520,29.25,40.5172413793,33.9310344828,48.4827586207,28.8275862069,20,52.1481481481,19.6129032258,39.4482758621,22.7419354839,56.8709677419,22.6451612903,139.5833333333,205.3333333333,129.0434782609
2014-09-07,26,1360,27,38.7931034483,30.6206896552,48.4827586207,27.3103448276,17.5757575758,42.6666666667,18.3870967742,35.8620689655,20.3225806452,44.9677419355,19.7419354839,103.2916666667,133.3333333333,94.4782608696
2014-09-14,26,1400,28.125,38.7931034483,33.1034482759,49.7586206897,31.1034482759,19.3939393939,45.037037037,18.3870967742,43.9310344828,18.8709677419,48.935483871,20.3225806452,97.7083333333,128,92.1739130435
2014-09-21,26,1480,28.125,41.3793103448,30.6206896552,58.6896551724,28.8275862069,18.7878787879,49.7777777778,20.2258064516,46.6206896552,22.7419354839,56.8709677419,23.2258064516,103.2916666667,128,96.7826086957
2014-09-28,28,1480,27,40.5172413793,33.1034482759,62.5172413793,27.3103448276,18.1818181818,43.8518518519,19,41.2413793103,20.8064516129,52.9032258065,20.9032258065,117.25,130.6666666667,106
2014-10-05,27,1600,29.25,41.3793103448,35.5862068966,62.5172413793,29.5862068966,20.6060606061,47.4074074074,23.2903225806,39.4482758621,22.7419354839,44.9677419355,20.3225806452,97.7083333333,98.6666666667,94.4782608696
2014-10-12,39,1840,29.25,42.2413793103,39.724137931,72.724137931,33.3793103448,26.0606060606,53.3333333333,25.1290322581,43.0344827586,27.5806451613,55.5483870968,23.2258064516,103.2916666667,93.3333333333,96.7826086957
2014-10-19,33,1760,30.375,40.5172413793,34.7586206897,57.4137931034,28.8275862069,22.4242424242,50.962962963,23.9032258065,36.7586206897,22.7419354839,46.2903225806,22.6451612903,128.4166666667,109.3333333333,122.1304347826
2014-10-26,30,1960,32.625,38.7931034483,38.8965517241,56.1379310345,32.6206896552,21.8181818182,56.8888888889,25.1290322581,38.5517241379,23.7096774194,50.2580645161,22.064516129,106.0833333333,90.6666666667,112.9130434783
2014-11-02,24,1520,28.125,40.5172413793,33.9310344828,58.6896551724,30.3448275862,18.1818181818,43.8518518519,20.2258064516,41.2413793103,18.8709677419,44.9677419355,22.064516129,92.125,90.6666666667,89.8695652174
2014-11-09,25,1440,24.75,40.5172413793,32.275862069,52.3103448276,25.7931034483,18.7878787879,43.8518518519,20.8387096774,34.0689655172,17.4193548387,43.6451612903,19.7419354839,92.125,93.3333333333,85.2608695652
2014-11-16,25,1400,23.625,38.7931034483,33.1034482759,54.8620689655,27.3103448276,19.3939393939,41.4814814815,21.4516129032,37.6551724138,17.9032258065,39.6774193548,20.9032258065,92.125,88,87.5652173913
2014-11-23,28,1440,25.875,38.7931034483,33.9310344828,48.4827586207,29.5862068966,18.1818181818,40.2962962963,18.3870967742,35.8620689655,20.8064516129,42.3225806452,21.4838709677,94.9166666667,93.3333333333,82.9565217391
2014-11-30,31,1480,27,41.3793103448,39.724137931,51.0344827586,30.3448275862,19.3939393939,43.8518518519,22.064516129,37.6551724138,19.8387096774,50.2580645161,22.6451612903,97.7083333333,93.3333333333,89.8695652174
2014-12-07,33,1640,31.5,43.1034482759,47.1724137931,59.9655172414,48.5517241379,23.0303030303,59.2592592593,25.7419354839,46.6206896552,22.2580645161,59.5161290323,24.3870967742,108.875,117.3333333333,108.3043478261
2014-12-14,32,1680,31.5,43.9655172414,48,59.9655172414,45.5172413793,23.6363636364,68.7407407407,28.8064516129,76.2068965517,28.064516129,84.6451612903,29.0322580645,114.4583333333,130.6666666667,112.9130434783
2014-12-21,48,2160,43.875,58.6206896552,70.3448275862,79.1034482759,55.3793103448,27.8787878788,84.1481481481,33.0967741935,78,41.1290322581,104.4838709677,40.064516129,192.625,205.3333333333,172.8260869565
2014-12-28,65,2400,48.375,62.9310344828,73.6551724138,84.2068965517,66,32.1212121212,114.962962963,38.6129032258,86.9655172414,41.6129032258,121.6774193548,38.9032258065,279.1666666667,266.6666666667,200.4782608696
2015-01-04,38,1720,36,51.724137931,48.8275862069,68.8965517241,45.5172413793,27.2727272727,80.5925925926,28.1935483871,64.5517241379,30.9677419355,84.6451612903,34.2580645161,142.375,141.3333333333,124.4347826087
2015-01-11,30,1520,28.125,40.5172413793,35.5862068966,53.5862068966,32.6206896552,22.4242424242,58.0740740741,25.1290322581,44.8275862069,23.2258064516,56.8709677419,22.6451612903,108.875,101.3333333333,101.3913043478
2015-01-18,28,1480,28.125,43.1034482759,34.7586206897,56.1379310345,31.1034482759,21.2121212121,47.4074074074,20.8387096774,40.3448275862,23.7096774194,54.2258064516,22.6451612903,97.7083333333,96,94.4782608696
